38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:55:41,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:19:55:42,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:19:55:50,38:17:c3:19:55:40,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b0,38:17:c3:24:58:b0,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:a0,b0:be:76:f8:30:5e,38:17:c3:24:58:a2,38:17:c3:24:58:a1,00:4e:35:df:06:50,70:56:81:c9:91:ab,32:f7:72:50:57:3b,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:35:12,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:03,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,44:48:c1:a5:82:31,44:48:c1:a5:82:32,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:61,80:8d:b7:55:25:f3,80:8d:b7:55:25:e3,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,00:4e:35:df:06:52,20:a6:cd:50:24:b0,20:a6:cd:50:24:a0,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,00:4e:35:df:06:51,00:4e:35:df:06:40,b4:5d:50:e1:92:33,44:48:c1:a5:82:20,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,38:17:c3:19:d7:70,b4:5d:50:e1:92:31,66:2a:2f:53:7c:99,80:8d:b7:55:35:02,80:8d:b7:55:35:01,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:19:d7:62,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,20:a6:cd:50:24:b2,38:17:c3:1e:ff:01,38:17:c3:1e:ff:11,80:8d:b7:55:35:00,38:17:c3:1f:01:80,38:17:c3:19:d7:60,00:4e:35:df:06:42,38:17:c3:1e:ff:00,38:17:c3:1e:ff:10,20:a6:cd:50:24:b1,b4:5d:50:e1:92:23,38:17:c3:1e:ff:12,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,00:4e:35:df:06:41,38:17:c3:19:45:b0,60:32:b1:3e:1a:b8,38:17:c3:19:45:a1,38:17:c3:19:45:a0,60:32:b1:3e:1a:b7,38:17:c3:19:45:a2,00:4e:35:de:e1:12,b4:5d:50:e1:92:22,00:4e:35:de:e1:11,00:4e:35:de:e1:10,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:50,b4:5d:50:e1:92:21,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:20,b4:5d:50:e1:96:53,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:e1:02,a8:bd:27:4c:bd:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:1f:08:42,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,38:17:c3:1f:08:50,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:52,00:4e:35:de:d7:50,38:17:c3:19:71:90,a8:bd:27:4c:bd:21,00:4e:35:de:d7:42,00:4e:35:de:d7:40,a8:bd:27:4c:bd:20,38:17:c3:19:71:92,9c:d6:43:60:92:e0,38:17:c3:19:71:91,38:17:c3:1f:22:32,00:4e:35:de:d7:43,38:17:c3:1f:22:22,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:19:71:82,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:01,00:4e:35:df:0e:00,00:4e:35:df:0e:02,00:4e:35:df:0e:11,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:1b:08:b0,38:17:c3:24:4f:01,38:17:c3:24:4f:00,00:4e:35:de:d7:41,x,y,timestamp
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-81,-71,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-77,-100,-77,-77,-59,-100,-100,-100,-100,-100,-100,-77,-78,-77,-58,-100,-100,-100,-100,-100,-59,-59,-100,-100,-100,-100,-100,-100,-58,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,484,80,3727841857913
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-82,-72,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-75,-100,-76,-76,-60,-100,-100,-100,-100,-100,-100,-77,-78,-78,-59,-100,-100,-100,-100,-100,-60,-60,-100,-100,-100,-100,-100,-100,-59,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,484,80,3731130662452
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-83,-73,-100,-100,-100,-83,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-73,-100,-73,-73,-60,-100,-100,-100,-100,-100,-100,-77,-78,-80,-59,-100,-100,-100,-100,-100,-60,-61,-100,-100,-100,-100,-100,-100,-59,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,484,80,3734436835683
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-81,-72,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-86,-100,-86,-85,-62,-100,-100,-100,-100,-100,-100,-69,-70,-70,-63,-100,-100,-100,-100,-100,-62,-62,-100,-100,-100,-100,-100,-100,-63,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,501,80,3770897970608
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-81,-75,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-81,-100,-82,-81,-66,-100,-100,-100,-100,-100,-100,-65,-70,-70,-65,-100,-100,-100,-100,-100,-66,-66,-100,-100,-100,-100,-100,-100,-65,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,501,80,3774137131685
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-87,-73,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-85,-100,-86,-86,-63,-100,-100,-100,-100,-100,-100,-70,-70,-70,-63,-100,-100,-100,-100,-100,-62,-63,-100,-100,-100,-100,-100,-100,-63,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,501,80,3777368371763
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-87,-76,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-82,-100,-81,-82,-63,-100,-100,-100,-100,-100,-100,-70,-71,-70,-64,-100,-100,-100,-100,-100,-63,-63,-100,-100,-100,-100,-100,-100,-64,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-81,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,501,80,3780730568686
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-83,-72,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-81,-100,-81,-81,-65,-100,-100,-100,-100,-100,-100,-69,-70,-70,-63,-100,-100,-100,-100,-100,-64,-64,-100,-100,-100,-100,-100,-100,-63,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-81,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,501,80,3784108309378
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-82,-100,-82,-82,-63,-100,-100,-100,-100,-100,-100,-70,-70,-70,-64,-100,-100,-100,-100,-100,-63,-63,-100,-100,-100,-100,-100,-100,-64,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,501,80,3798207695302
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-79,-74,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-85,-100,-85,-86,-61,-100,-100,-100,-100,-100,-100,-77,-76,-77,-61,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100,-100,-100,-61,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-84,-100,-88,-79,-100,-79,-88,-100,-100,-100,-100,-100,-100,-100,-100,518,80,3823928329688
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-79,-74,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-86,-100,-85,-86,-63,-100,-100,-100,-100,-100,-100,-76,-75,-76,-62,-100,-100,-100,-100,-100,-63,-64,-100,-100,-100,-100,-100,-100,-62,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-86,-89,-88,-79,-100,-79,-88,-100,-100,-100,-100,-100,-100,-100,-100,518,80,3827199755766
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-80,-74,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-86,-100,-85,-86,-63,-100,-100,-100,-100,-100,-100,-73,-74,-74,-61,-100,-100,-100,-100,-100,-63,-63,-100,-100,-100,-100,-100,-100,-62,-100,-100,-62,-100,-100,-100,-100,-88,-100,-100,-100,-84,-84,-100,-100,-86,-89,-88,-80,-81,-80,-88,-100,-100,-100,-100,-100,-100,-100,-100,518,80,3830505465073
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-79,-73,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-77,-78,-77,-63,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100,-100,-100,-62,-100,-100,-62,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-86,-89,-100,-80,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,518,80,3833882551458
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-79,-73,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-86,-100,-87,-87,-62,-100,-100,-100,-100,-100,-100,-74,-73,-74,-62,-100,-100,-100,-100,-100,-62,-62,-100,-100,-100,-100,-100,-100,-62,-100,-100,-62,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-80,-79,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,518,80,3837200782381
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-79,-73,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-88,-100,-89,-87,-63,-100,-100,-100,-100,-100,-100,-75,-74,-75,-63,-100,-100,-100,-100,-100,-63,-63,-100,-100,-100,-100,-100,-100,-62,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-89,-78,-79,-78,-89,-100,-100,-100,-100,-100,-100,-100,-100,518,80,3840572011997
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-55,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-83,-79,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-86,-100,-86,-86,-59,-100,-100,-100,-100,-100,-100,-72,-73,-72,-56,-100,-100,-100,-100,-100,-59,-59,-100,-100,-100,-100,-100,-100,-56,-100,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,536,80,3875648222384
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-55,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-83,-79,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-85,-100,-86,-86,-58,-100,-100,-100,-100,-100,-100,-73,-73,-73,-53,-100,-100,-100,-100,-100,-58,-58,-100,-100,-100,-100,-100,-100,-56,-100,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-80,-80,-80,-100,-100,-100,-88,-100,-100,-100,-100,-100,536,80,3878996291307
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-83,-100,-100,-100,-55,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-83,-80,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-86,-100,-86,-86,-58,-100,-100,-100,-100,-100,-100,-73,-73,-73,-55,-100,-100,-100,-100,-100,-58,-58,-100,-100,-100,-100,-100,-100,-55,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-80,-80,-80,-100,-88,-100,-88,-100,-100,-100,-100,-100,536,80,3882311064923
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-83,-100,-100,-100,-54,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-83,-78,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-87,-100,-87,-87,-59,-100,-100,-100,-100,-100,-100,-72,-72,-72,-54,-100,-100,-100,-100,-100,-59,-59,-100,-100,-100,-100,-100,-100,-54,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-80,-80,-81,-100,-88,-87,-88,-100,-100,-100,-100,-100,536,80,3885681252615
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-52,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-84,-78,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-86,-100,-84,-87,-58,-100,-100,-100,-100,-100,-100,-72,-72,-72,-55,-100,-100,-100,-100,-100,-58,-58,-100,-100,-100,-100,-100,-100,-55,-100,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-80,-100,-87,-88,-88,-100,-100,-100,-100,-100,536,80,3889008439615
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-84,-100,-85,-85,-59,-100,-100,-100,-100,-100,-100,-72,-72,-72,-55,-100,-100,-100,-100,-100,-59,-59,-100,-100,-100,-100,-100,-100,-55,-100,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-80,-100,-87,-87,-87,-100,-100,-100,-100,-100,536,80,3892386008462
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-65,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-88,-79,-87,-100,-100,-100,-100,-86,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-83,-100,-82,-83,-61,-100,-100,-100,-100,-100,-100,-74,-73,-74,-60,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100,-100,-100,-60,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,553,80,3928576763233
